id,name,type,state,oricodes,total_shootings,latitude,longitude
3471,Union County Sheriff's Office,sheriff,OH,OH08000,1,36.7053818,-86.3980946
1887,Union Parish Sheriff's Department,sheriff,LA,LA05600,1,45.3811789,-122.8562842
1804,Uniontown Police Department,local_police,OH,OH07625,1,39.9286045,-82.8580593
2813,Union Township Police Department,local_police,OH,OH01316,1,47.109308,-122.3360278
1683,Union Township Police (Lawrence Co.),local_police,PA,PA03708,1,,
1775,United States Capitol Police,federal,DC,,3,35.3976786,-80.8763219
2859,United States Department of Veterans Affairs Police,federal,WI,,1,34.0839459,-118.1947938
26437,United States Park Police,federal,DC,DCPPD0000,1,,
3425,United States Secret Service,federal,DC,,1,44.1235063,-123.1295428
2697,University City Police Department,local_police,MO,MO09573,1,44.2636222,-72.5840232
2278,University of California at Riverside Police,local_other,CA,CA03397,1,32.8275752,-97.1544878
656,University of Cincinnati Police Department,local_other,OH,OH03137,1,39.8330722,-104.9865909
1478,University of Colorado Boulder Police Department,local_other,CO,CO00705,1,42.9314546,-114.653594
966,University of North Texas Campus Police Department,state_police,TX,TX06111,1,36.0377224,-95.8051841
1021,Upper Darby Police Department,local_police,PA,PA02337,2,42.9494157,-92.5487829
1982,Upper Merion Township Police Department,local_police,PA,PA04629,1,35.1701032,-90.0239448
3030,Upper Perkiomen Police Department,local_police,PA,PA04650,1,42.7155305,-87.7859152
1597,Upshur County Sheriff's Department,sheriff,TX,TX23000,1,,
1376,Upshur County Sheriff's Department,sheriff,WV,WV04900,2,,
3500,Upson County Sheriff's Office,sheriff,GA,GA14500,1,40.2651281,-76.8621287
1100,Urbandale Police Department,local_police,IA,IA07704,1,38.0388116,-87.2580552
1971,U.S. Border Patrol,federal,AZ,AZINS0100;AZINS0200,4,43.6474376,-94.4468991
2954,U.S. Border Patrol,federal,CA,CAINS0100;CAINS0200;CAINS0300,5,33.9332959,-84.3333025
2613,U.S. Border Patrol,federal,NM,,4,27.8389535,-81.6561525
3610,U.S. Border Patrol,federal,NY,NYINS0100,1,32.555039,-94.6472209
2195,U.S. Border Patrol,federal,TX,TXINS0100;TXINS0200;TXINS0300;TXINS0400;TXINS0500;TXINS0600,9,38.8569224,-94.6943128
60,U.S. Border Patrol,federal,WA,WAINS0100;WAINS0200,1,28.309578,-80.7049257
2493,U.S. Customs and Border Control,federal,CA,,1,47.9780655,-122.1623265
1304,U.S. Customs and Border Patrol,federal,AZ,,1,42.3082909,-85.189752
1372,U.S. Department of Homeland Security,federal,US,,3,32.8508496,-96.9887918
2955,U.S. Federal Bureau of Investigation,federal,MI,,2,35.4634415,-94.78887
2013,U.S. Forest Service,federal,AZ,,1,39.405414,-75.0392
2086,U.S. Immigration and Customs Enforcement,federal,AZ,,2,39.6943388,-104.8658823
428,U.S. Immigration and Customs Enforcement,federal,MI,,1,36.1764822,-96.010141
2166,U.S. Immigration and Customs Enforcement,federal,TX,,1,41.778369,-124.200679
2821,U.S. Marshals,federal,AR,,1,31.9971487,-81.0717123
2909,U.S. Marshals,federal,GA,,2,29.4946648,-95.0583595
2688,U.S. Marshals District of Alaska,federal,AK,,2,27.4293335,-82.5682174
2594,U.S. Marshals Fugitive Task Force,federal,CA,,1,43.4884602,-112.0339036
2894,U.S. Marshals Fugitive Task Force,federal,WA,,1,39.5446209,-119.7606816
2706,"U.S. Marshals Fugitive Task Force, Florida",federal,FL,,2,43.5878073,-84.8255097
3439,U.S. Marshals Service,federal,AK,AKUSM0100,1,39.6468051,-78.3684067
26242,U.S. Marshals Service,federal,AR,ARUSM0100;ARUSM0200;ARUSMFS00,1,29.8275421,-95.2934029
2267,U.S. Marshals Service,federal,AZ,AZUSM0100,8,29.5208202,-98.4917281
1981,U.S. Marshals Service,federal,CA,CAUSM0100;CAUSM0200;CAUSM0300;CAUSM0400,3,34.1056795,-84.0302006
2151,U.S. Marshals Service,federal,CO,COUSM0100,1,35.9999688,-115.1217441
26244,U.S. Marshals Service,federal,DC,DCUSM0000;DCUSM0100,1,41.7865357,-89.6688141
2062,U.S. Marshals Service,federal,FL,FLUSM0100;FLUSM0200;FLUSM0300,4,38.8903143,-90.1266163
1399,U.S. Marshals Service,federal,GA,GAUSM0100;GAUSM0200;GAUSM0300,3,,
3613,U.S. Marshals Service,federal,HI,HIUSM0100,1,32.3835111,-90.1534806
3032,U.S. Marshals Service,federal,ID,IDUSM0100,1,29.5646721,-98.4995386
2054,U.S. Marshals Service,federal,IL,ILUSM0100;ILUSM0200;ILUSM0300,4,37.1182105,-84.0751657
3612,U.S. Marshals Service,federal,IN,INUSM0100;INUSM0200,1,39.2776528,-76.6687038
1155,U.S. Marshals Service,federal,KS,KSUSM0100,2,33.8780907,-84.2745859
3170,U.S. Marshals Service,federal,KY,KYUCM0100;KYUSM0200;KYUSMLV00,4,30.3091449,-95.4857308
3356,U.S. Marshals Service,federal,LA,LAUSM0100;LAUSM0200,4,40.8471686,-73.8866295
3023,U.S. Marshals Service,federal,MD,MDUSM0100,2,,
26249,U.S. Marshals Service,federal,MI,MIUSM0100;MIUSM0200,2,35.240379,-97.105193
3130,U.S. Marshals Service,federal,MN,MNUSM0100,1,43.9811333,-94.6276375
2080,U.S. Marshals Service,federal,MO,MOUSM0100;MOUSM0200,6,39.8499072,-105.0739763
2814,U.S. Marshals Service,federal,MS,MSUSM0100;MSUSM0200,1,39.0536942,-82.9642439
2643,U.S. Marshals Service,federal,MT,MTUSM0100;MTUSM0200,4,40.2487758,-76.8593857
2665,U.S. Marshals Service,federal,NC,NCUSM0100;NCUSM0200;NCUSM0300,4,40.6749594,-89.6171475
3614,U.S. Marshals Service,federal,NE,NBUSM0100,1,35.3185,-97.204808
26252,U.S. Marshals Service,federal,NJ,NJUSM0100,1,29.723006,-95.4590142
1114,U.S. Marshals Service,federal,NM,NMUSM0100,5,38.189203,-85.63669
3615,U.S. Marshals Service,federal,NV,NVUSM0100,1,34.8804531,-83.3887432
2903,U.S. Marshals Service,federal,NY,NYUSM0100;NYUSM0200;NYUSM0300;NYUSM0400,2,46.5994487,-111.8930033
3084,U.S. Marshals Service,federal,OH,OHUSM0100;OHUSM0200,4,,
2055,U.S. Marshals Service,federal,OK,OKUSM0100;OKUSM0300;OKUSMD200,6,35.245987,-80.910495
